idx;x;mean_synth_10;std_synth_10;mean_waveform;std_waveform
62;63.0;-0.7838143170828331;0.017523318724337933;-0.5790633489000898;0.004335451918434614
63;64.0;-0.782337319979519;0.016651684519274852;-0.5781118279460727;0.004341800144983666
64;65.0;-0.779188047891536;0.019609051811202604;-0.5769603900418379;0.004455879438582212
65;66.0;-0.7771853334403833;0.02206505083624342;-0.5762569121914991;0.005171452671845734
66;67.0;-0.7736699215081597;0.024181206133359542;-0.5753195119324148;0.0050630130326962414
67;68.0;-0.7731240937076327;0.02447905617432369;-0.574158599311529;0.0047739461473655116
68;69.0;-0.7720160616507546;0.024951265944427984;-0.5735469200353019;0.0047634594198925325
69;70.0;-0.771733808218834;0.02491185885119289;-0.5726987837107779;0.0048092003205129075
70;71.0;-0.7669090207748221;0.025878724134306075;-0.5718514861809938;0.005036084562019634
71;72.0;-0.7662050160067475;0.0254173167639147;-0.571576711884403;0.0049925912834325945
